NIS radar measurements, NIS laser measurements
3.13301, 0.0830129
4.86068, 1.09956
1.65548, 1.57698
1.2468, 0.651873
0.195564, 0.214644
0.48057, 4.01385
1.13784, 1.42354
0.466971, 9.5527
0.775182, 5.02579
1.60765, 2.46448
1.27744, 0.751589
0.0583952, 1.24829
1.07123, 0.849807
5.02143, 1.62562
2.10591, 0.186225
1.78619, 1.03638
6.86375, 0.636862
2.9902, 3.22617
3.04434, 0.98965
1.62263, 1.13015
2.39383, 2.37837
0.428519, 0.233839
0.649153, 0.478639
0.21397, 3.13758
0.943867, 2.32144
6.1484, 0.979877
0.103448, 0.447456
1.07579, 2.68284
0.160014, 0.910697
1.18363, 0.33923
0.0893766, 0.546804
1.01939, 0.16689
0.784557, 0.550611
1.8732, 0.386823
0.144484, 0.21874
0.122951, 2.0664
0.348476, 1.14965
0.310226, 0.950425
0.105064, 1.14635
0.58412, 2.88223
3.44904, 2.88299
0.165102, 1.25431
2.06089, 2.78421
0.112579, 3.76418
0.320997, 3.75781
1.32337, 1.50604
0.684452, 1.58555
1.767, 2.17856
0.51956, 0.0244637
5.68134, 5.31886
4.6586, 0.895627
2.3788, 2.39211
0.188947, 0.96842
1.27905, 1.48775
0.310888, 0.318665
1.28022, 0.715886
1.67422, 2.71639
6.55708, 3.07333
0.585364, 0.360504
1.8268, 0.3016
0.0693939, 0.547932
5.40188, 1.90564
5.91217, 3.39916
0.973264, 1.17895
2.19514, 1.06052
4.39889, 0.571087
0.6929, 0.312339
2.62265, 2.87568
2.05107, 0.860861
7.6117, 0.682067
2.05626, 0.70683
2.16111, 1.94607
2.33986, 0.553692
0.400405, 0.696187
0.0968446, 1.39641
0.586613, 0.24775
2.19956, 2.12754
0.205178, 0.3252
0.675619, 1.61278
0.955944, 0.490106
3.9708, 0.108091
1.42407, 4.7495
1.03054, 1.12919
0.656417, 0.256503
1.53313, 3.02797
0.593009, 2.40759
0.074136, 0.139452
2.78609, 0.970427
0.260931, 0.0903436
0.401693, 0.295657
2.64374, 0.0649417
1.14947, 2.48832
0.386034, 2.01661
2.5085, 0.517353
0.343292, 1.00097
0.417924, 0.769406
4.77179, 4.19138
1.28573, 0.67562
1.53946, 6.1822
0.946682, 0.057682
1.8945, 0.518172
3.51477, 2.3399
0.305263, 1.27844
1.98911, 0.455513
0.657244, 1.15888
1.55613, 1.49187
1.69874, 0.224235
0.885504, 4.18805
0.269138, 1.59246
1.28885, 2.7008
0.975928, 1.53654
1.75412, 0.592969
0.0495765, 6.02911
1.21865, 1.28676
2.49178, 0.421578
0.949451, 2.55062
0.352432, 1.26848
0.548259, 3.8689
1.61025, 0.0281074
0.0269886, 0.532935
4.10966, 0.709922
1.10765, 0.503249
1.591, 1.93608
1.31385, 0.178917
1.12969, 2.72771
1.6101, 0.794834
0.571721, 1.42037
1.36179, 0.608574
2.12113, 1.97598
2.13029, 0.145253
0.163377, 1.05459
0.307329, 0.198579
2.64565, 0.178596
0.0555936, 6.68255
0.317877, 3.95698
2.06941, 1.55204
4.74558, 1.63888
0.31975, 1.79036
4.52533, 1.88031
1.22457, 0.711539
1.83424, 0.635411
2.16664, 0.663991
0.649106, 1.72085
0.234337, 1.90877
3.67851, 3.55835
0.509608, 1.11642
0.340475, 1.5284
1.39669, 0.254078
0.70396, 2.2896
0.332268, 0.0909353
3.88965, 3.6271
1.41665, 0.900168
3.5517, 0.913317
0.486745, 3.7585
0.220442, 3.43811
1.32269, 3.16543
1.12389, 2.71758
0.33623, 0.344339
2.026, 1.38945
1.00535, 4.30396
1.78573, 1.44499
2.07828, 1.50084
2.10546, 0.791621
0.38342, 1.54988
4.36014, 5.52493
1.38961, 2.03077
0.111174, 0.807456
4.53907, 1.6889
3.10239, 0.61809
1.38365, 0.0826015
0.147681, 1.87969
1.55551, 0.296554
3.63951, 3.09645
0.465104, 0.826257
0.846597, 12.1169
0.981305, 1.37711
1.77778, 0.898395
1.79016, 0.473469
1.99431, 0.258326
1.44992, 2.14439
0.344099, 5.76952
1.87471, 1.676
2.53874, 1.37945
0.193286, 2.56243
0.174317, 3.12261
2.72491, 5.17954
0.294729, 3.08897
1.03634, 0.251501
0.948789, 0.650421
0.893101, 0.727262
0.101786, 0.487212
11.2485, 1.16198
2.09332, 3.89338
0.0361616, 1.49302
1.29451, 5.58143
1.02422, 0.683651
1.44817, 1.70043
0.725637, 0.0264742
4.33943, 0.712475
2.02458, 2.05088
1.94299, 0.662433
1.64682, 2.25961
2.88387, 0.616769
0.140114, 0.954595
0.540499, 0.694768
0.284816, 0.320367
3.06036, 1.35851
2.07686, 0.412508
0.11667, 3.60795
0.142855, 2.185
8.91037, 0.38642
2.32171, 0.980499
0.62698, 1.1718
0.687582, 0.108937
3.6215, 0.0371309
1.06982, 4.36549
3.50246, 0.784657
1.63638, 0.502023
1.43372, 2.1152
2.489, 0.0373139
1.13503, 4.23996
1.38055, 3.49166
2.4442, 2.13295
1.03299, 0.416818
0.199679, 0.647873
1.07905, 6.54845
0.915588, 0.563254
3.57644, 1.43153
2.42192, 0.156364
0.244723, 0.109169
0.0392112, 1.23958
0.228884, 1.75097
0.186814, 1.37528
3.65431, 0.642458
4.54301, 1.52907
0.337544, 8.58533
0.398578, 0.809964
0.475831, 3.5773
0.0268142, 1.93644
0.101042, 2.0028
1.93093, 0.520608
5.48281, 2.5704
1.01629, 1.16571
4.56428, 2.12637
0.210634, 0.487931
